Страна;Кто предложил;Событие;Вариант ответа;Тип СМИ;Реакция СМИ
germany;Канцлер;Раз мы платим за ЕС, давайте требовать полного фискального контроля над их бюджетами.;Создать 'Соединенные Штаты Европы';Либеральное;Окончательная утрата национального суверенитета. Наши законы и бюджеты теперь будут контролироваться никем не избранными евробюрократами. Германия превращается в безвольную провинцию огромной неповоротливой брюссельской империи.
germany;Канцлер;Раз мы платим за ЕС, давайте требовать полного фискального контроля над их бюджетами.;Это вызовет бунт суверенитетов;Провластное;Защита независимости и суверенитета нашего парламента. Отказ от передачи новых полномочий Брюсселю означает, что судьба Германии по-прежнему решается в Берлине, а не в кабинетах европейских функционеров.
germany;Канцлер;Раз мы платим за ЕС, давайте требовать полного фискального контроля над их бюджетами.;Это вызовет бунт суверенитетов;Либеральное;Отказ от лидерства в объединении Европы. Застряв в узко-национальных интересах, мы тормозим развитие всего ЕС. Этот изоляционистский шаг ослабляет позиции Европы на мировой арене в критический исторический момент.
germany;Глава ЕЦБ;Из-за вашей строгости Южная Европа грозит выйти из Еврозоны. Евро падает.;Пусть выходят! Вернем Марку!;Провластное;Евро спасен любой ценой! Колоссальные финансовые интервенции и спасительные пакеты предотвратили крах единой европейской валюты. Наше решительное вмешательство сохранило фундамент благополучия всей Европы.
germany;Глава ЕЦБ;Из-за вашей строгости Южная Европа грозит выйти из Еврозоны. Евро падает.;Пусть выходят! Вернем Марку!;Либеральное;Инфляция и обнищание ради спасения политического проекта. Мы спасли Евро за счет неконтролируемой эмиссии и обесценивания сбережений немецких граждан. Цены в магазинах растут, чтобы покрыть астрономические долги спасательных фондов.
germany;Глава ЕЦБ;Из-за вашей строгости Южная Европа грозит выйти из Еврозоны. Евро падает.;Выдать им экстренный кредит спасения;Провластное;Храброе возвращение к истокам! Возврат к дойчмарке вернет нашей экономике былую мощь и независимость. Мы сбрасываем с себя балласт неэффективных экономик и восстанавливаем контроль над собственной финансовой системой.
germany;Глава ЕЦБ;Из-за вашей строгости Южная Европа грозит выйти из Еврозоны. Евро падает.;Выдать им экстренный кредит спасения;Либеральное;Катастрофический коллапс десятилетий европейской интеграции. Отказ от Евро вызовет чудовищный экономический шок, развал цепочек поставок и банкротство тысяч экспортеров. Страна совершает прыжок в неизвестность из-за страха перед трудностями.
germany;Министр Обороны;Бундесвер в ужасном состоянии. Танки не ездят, вертолеты не летают.;Выделить 100 миллиардов на армию;Провластное;Эпоха Zeitenwende (смены эпох) наступила! Выделение 100 миллиардов евро на перевооружение Бундесвера вернет нашей армии статус сильнейшей в Европе. Мы готовы защитить наши ценности и безопасность союзников по НАТО.
germany;Министр Обороны;Бундесвер в ужасном состоянии. Танки не ездят, вертолеты не летают.;Выделить 100 миллиардов на армию;Либеральное;Безумная милитаризация вместо социальных реформ. 100 миллиардов евро вливаются в неэффективную и коррумпированную армейскую бюрократию, в то время как школы и мосты по всей стране разрушаются от недофинансирования.
germany;Министр Обороны;Бундесвер в ужасном состоянии. Танки не ездят, вертолеты не летают.;Армия нам не нужна, нас защитит НАТО;Провластное;Приоритет социальных нужд над гонкой вооружений. Отказ от астрономических трат на армию доказывает нашу приверженность миру и внутреннему развитию. Мы будем строить больницы и дороги, а не плодить горы нового оружия.
germany;Министр Обороны;Бундесвер в ужасном состоянии. Танки не ездят, вертолеты не летают.;Армия нам не нужна, нас защитит НАТО;Либеральное;Предательство союзников и расписка в собственной беззащитности. Отказ от модернизации разваливающегося Бундесвера оставляет Германию беззубой перед лицом реальных военных угроз. Мы продолжаем надеяться, что нас всегда будет защищать Америка.
germany;Генерал;Из 100 миллиардов мы не потратили почти ничего. Бюрократия запрашивает 500 справок на каждую гайку.;Провести радикальную чистку министерства;Провластное;Радикальная дебюрократизация освобождает бизнес! Отмена устаревших правил и массовая цифровизация государственных услуг дали мощный толчок развитию стартапов и промышленности. Германия становится самой удобной страной для ведения бизнеса.
germany;Генерал;Из 100 миллиардов мы не потратили почти ничего. Бюрократия запрашивает 500 справок на каждую гайку.;Провести радикальную чистку министерства;Либеральное;Хаос и разрушение стандартов качества. Под соусом 'уменьшения бюрократии' правительство отменило жизненно важные экологические и трудовые нормы. Защита прав потребителей принесена в жертву корпоративным интересам крупных концернов.
germany;Генерал;Из 100 миллиардов мы не потратили почти ничего. Бюрократия запрашивает 500 справок на каждую гайку.;Отдать закупки американским корпорациям;Провластное;Знаменитый немецкий 'Орднунг' (порядок) должен быть сохранен. Отказ от сомнительных упрощений процедур гарантирует высочайшее качество, безопасность и справедливость всех процессов. Закон должен работать безупречно, даже если на это нужно время.
germany;Генерал;Из 100 миллиардов мы не потратили почти ничего. Бюрократия запрашивает 500 справок на каждую гайку.;Отдать закупки американским корпорациям;Либеральное;Страна тонет в бумажных архивах и факсах. Сохранение устаревших бюрократических процедур парализует любые инновации. Инвесторы бегут из страны просто потому, что здесь нужно годами ждать разрешения на постройку ветряка или завода.
germany;Канцлер;Наша армия теперь сильнейшая в Европе. Мы можем инициировать создание единой Армии ЕС.;Возглавить Армию Европы;Провластное;Исторический шаг к единой европейской обороне! Создание армии ЕС под лидерством Германии снизит нашу зависимость от США и обеспечит надежный щит для всего континента. Европа становится полноценной независимой сверхдержавой.
germany;Канцлер;Наша армия теперь сильнейшая в Европе. Мы можем инициировать создание единой Армии ЕС.;Возглавить Армию Европы;Либеральное;Милитаризация Евросоюза под управлением бюрократов. Создание европейской армии — это дублирование функций НАТО, которое приведет лишь к гигантским растратам бюджетов и путанице в командовании. Иллюзия независимости ценой миллиардов евро.
germany;Канцлер;Наша армия теперь сильнейшая в Европе. Мы можем инициировать создание единой Армии ЕС.;Оставить войска под национальным контролем;Провластное;НАТО остается краеугольным камнем нашей безопасности. Отказ от сомнительного проекта европейской армии подтверждает нашу верность трансатлантическому союзу с США. Мы не будем тратить ресурсы на дублирующие и неэффективные военные структуры.
germany;Канцлер;Наша армия теперь сильнейшая в Европе. Мы можем инициировать создание единой Армии ЕС.;Оставить войска под национальным контролем;Либеральное;Европа расписалась в своей вечной зависимости. Отказавшись от создания собственной объединенной армии, мы навсегда остаемся геополитическими заложниками Вашингтона, не способными самостоятельно защитить даже свои собственные границы.
india;Министр IT;Наши колл-центры приносят миллиарды, но в мире мы ассоциируемся с телефонными мошенниками.;Жестко зачистить скамеров силами полиции;Провластное;Очищение репутации нашей страны! Жесткая полицейская зачистка скамеров и мошенников доказывает, что Индия становится надежным и прозрачным глобальным IT-партнером. С нашим криминальным прошлым в индустрии колл-центров покончено.
india;Министр IT;Наши колл-центры приносят миллиарды, но в мире мы ассоциируемся с телефонными мошенниками.;Жестко зачистить скамеров силами полиции;Либеральное;Удар по занятости ради одобрения западных стран. Массовые аресты и закрытие колл-центров оставили сотни тысяч молодых людей без работы и средств к существованию. Полиция просто уничтожила целую неформальную отрасль, не предложив никакой альтернативы.
india;Министр IT;Наши колл-центры приносят миллиарды, но в мире мы ассоциируемся с телефонными мошенниками.;Не трогать их, это рабочие места;Провластное;Прагматичный подход к занятости молодежи. Власть закрыла глаза на сомнительные колл-центры, позволив сохранить миллионы рабочих мест в условиях кризиса. Пусть лучше люди работают за компьютерами, чем пополняют ряды уличной преступности.
india;Министр IT;Наши колл-центры приносят миллиарды, но в мире мы ассоциируемся с телефонными мошенниками.;Не трогать их, это рабочие места;Либеральное;Государство официально поощряет глобальное мошенничество. Закрывая глаза на 'скамеров', мы превращаемся в страну-изгоя, которую во всем мире ассоциируют исключительно с кражей денег с кредитных карт пенсионеров. Это несмываемый позор.
india;CEO IT-корпорации;ИИ начинает заменять операторов колл-центров. Миллионы могут потерять работу.;Ввести налог на ИИ и субсидировать зарплаты;Провластное;Защита трудящихся в эпоху нейросетей! Введение налога на ИИ и масштабное субсидирование зарплат операторов колл-центров спасло миллионы семей от разорения. Государство доказало, что живые люди для него важнее бездушных алгоритмов корпораций.
india;CEO IT-корпорации;ИИ начинает заменять операторов колл-центров. Миллионы могут потерять работу.;Ввести налог на ИИ и субсидировать зарплаты;Либеральное;Лудизм XXI века на государственном уровне. Облагая налогами ИИ, правительство искусственно тормозит технологический прогресс, пытаясь спасти безнадежно устаревшие профессии. Это прямой путь к тотальному отставанию в глобальной гонке инноваций.
india;CEO IT-корпорации;ИИ начинает заменять операторов колл-центров. Миллионы могут потерять работу.;Пусть переучиваются на программистов;Провластное;Болезненная, но необходимая эволюция. Индия должна стать столицей передового ИИ, а не дешевой рабочей силы! Массовое переобучение операторов на программистов и инженеров нейросетей выведет нашу IT-индустрию на принципиально новый, мировой уровень.
india;CEO IT-корпорации;ИИ начинает заменять операторов колл-центров. Миллионы могут потерять работу.;Пусть переучиваются на программистов;Либеральное;Миллионы людей выброшены на улицу во имя прогресса. Правительство бросило операторов колл-центров на произвол судьбы, цинично посоветовав им 'переучиваться'. Для большинства бедняков эти курсы недоступны, и их ждет неминуемая нищета.
india;Глава диаспоры в США;Наши очищенные IT-компании готовы покупать стартапы в Кремниевой Долине.;Выделить гос. кредиты на экспансию;Провластное;Наша нация ведет мир в будущее! Огромные государственные инвестиции в технопарки превратили нас в мировую столицу ИИ. Иностранные корпорации выстраиваются в очередь, чтобы нанять наших гениальных инженеров.
india;Глава диаспоры в США;Наши очищенные IT-компании готовы покупать стартапы в Кремниевой Долине.;Выделить гос. кредиты на экспансию;Либеральное;Пир во время чумы. Пока в деревнях нет чистой воды и канализации, правительство вливает миллиарды в роскошные технопарки для избранной элиты. Разрыв между богатыми айтишниками и нищим населением достигает взрывоопасных масштабов.
india;Глава диаспоры в США;Наши очищенные IT-компании готовы покупать стартапы в Кремниевой Долине.;Деньги нужны внутри страны;Провластное;Здравый смысл в экономике превыше всего. Отказавшись от бездумных мегапроектов, мы направили средства на поддержку реального сектора. Наши инженеры найдут себя в частном бизнесе, не обременяя государственный бюджет.
india;Глава диаспоры в США;Наши очищенные IT-компании готовы покупать стартапы в Кремниевой Долине.;Деньги нужны внутри страны;Либеральное;Историческое поражение в глобальной технологической гонке. Власти отказались строить IT-инфраструктуру, обрекая наших специалистов на эмиграцию. Мы навсегда останемся страной дешевых колл-центров, уступив лидерство Китаю и Западу.
india;Продюсер Болливуда;Новый фильм бьет все рекорды, но радикалы считают, что он оскорбляет религию.;Запретить показ ради спокойствия;Провластное;Защита духовных скреп и традиций! Строгая государственная цензура очистит наш кинематограф от западной грязи и аморальности. Мы будем снимать только светлые, духоподъемные фильмы, воспитывающие настоящих патриотов.
india;Продюсер Болливуда;Новый фильм бьет все рекорды, но радикалы считают, что он оскорбляет религию.;Запретить показ ради спокойствия;Либеральное;Удушение свободы творчества ради мракобесия. Религиозные фанатики диктуют режиссерам, какие фильмы снимать. Введение жесткой цензуры отбрасывает наше искусство в средневековье, уничтожая независимый кинематограф.
india;Продюсер Болливуда;Новый фильм бьет все рекорды, но радикалы считают, что он оскорбляет религию.;Защитить кинотеатры полицией;Провластное;Свобода искусства — основа нашей великой демократии! Мы не поддадимся давлению радикалов и сохраним Болливуд свободным. Наш кинематограф должен развиваться, поднимая острые социальные темы, какими бы сложными они ни были.
india;Продюсер Болливуда;Новый фильм бьет все рекорды, но радикалы считают, что он оскорбляет религию.;Защитить кинотеатры полицией;Либеральное;Власть трусливо самоустранилась от защиты нравственности. Закрывая глаза на оскорбление религиозных чувств в фильмах, правительство провоцирует раскол в обществе и потакает моральной деградации молодежи под видом 'свободы творчества'.
india;Начальник Полиции;Радикалы вышли на улицы из-за фильма. Горят автобусы.;Подавить протесты силой;Провластное;Закон и порядок восстановлены твердой рукой! Полиция и армия молниеносно пресекли погромы радикалов, защитив мирных граждан и кинотеатры. Никто не имеет права навязывать свою волю обществу с помощью насилия.
india;Начальник Полиции;Радикалы вышли на улицы из-за фильма. Горят автобусы.;Подавить протесты силой;Либеральное;Улицы залиты кровью из-за упрямства властей. Решение бросить армию против толпы религиозных фанатиков привело к огромному количеству жертв. Власть тушит пожар общественного недовольства керосином полицейского насилия.
india;Начальник Полиции;Радикалы вышли на улицы из-за фильма. Горят автобусы.;Снять фильм с проката;Провластное;Мудрый компромисс ради сохранения мира. Запрет показа спорного фильма спас страну от масштабных религиозных войн. Безопасность граждан и стабильность в обществе для нас гораздо важнее амбиций кучки скандальных режиссеров.
india;Начальник Полиции;Радикалы вышли на улицы из-за фильма. Горят автобусы.;Снять фильм с проката;Либеральное;Позорная капитуляция государства перед уличными погромщиками. Власть официально признала, что в нашей стране правит не закон, а толпа радикалов с камнями. Запрет фильма — это смертный приговор светскому государству.
india;Продюсер Болливуда;Голливуд хочет снимать копродукцию, но требует снять цензуру.;Снять цензурные ограничения;Провластное;Триумфальный выход нашего кино на мировую арену! Сделка с голливудскими гигантами обеспечит нашим студиям доступ к передовым технологиям и глобальным бюджетам. Наша культура теперь будет доминировать на экранах всего мира.
india;Продюсер Болливуда;Голливуд хочет снимать копродукцию, но требует снять цензуру.;Снять цензурные ограничения;Либеральное;Продажа национальной культуры за американские доллары. Болливуд теряет свою душу и уникальность, подстраиваясь под бездушные шаблоны западного кинематографа. Мы превращаемся в дешевую фабрику контента для иностранных корпораций.
india;Продюсер Болливуда;Голливуд хочет снимать копродукцию, но требует снять цензуру.;Наши традиции важнее долларов;Провластное;Мы защитили национальное достояние! Отказ от сделки с Голливудом гарантирует сохранение уникального стиля и независимости нашей киноиндустрии. Мы будем завоевывать мир своими силами, не прогибаясь под чужие стандарты.
india;Продюсер Болливуда;Голливуд хочет снимать копродукцию, но требует снять цензуру.;Наши традиции важнее долларов;Либеральное;Изоляционизм и страх конкуренции убивают индустрию. Отказавшись от глобальных инвестиций, мы обрекаем наши студии на технологическое отставание. Местечковый патриотизм лишил тысячи актеров и режиссеров шанса на мировой успех.
india;Директор ISRO;Мы можем посадить ровер на Южный полюс Луны первыми в мире! Нужны средства.;Выделить бюджет! Это престиж нации;Провластное;Исторический триумф нашего народа! Успешная посадка лунохода навсегда вписала имя нашей страны в список величайших космических держав. Мы доказали всему миру, что наши инженеры способны решать сложнейшие задачи человечества.
india;Директор ISRO;Мы можем посадить ровер на Южный полюс Луны первыми в мире! Нужны средства.;Выделить бюджет! Это престиж нации;Либеральное;Пир тщеславия на фоне трущоб. Правительство тратит космические бюджеты на отправку железок на Луну, в то время как миллионы детей в стране голодают. Эти миллиарды следовало бы потратить на строительство школ и больниц.
india;Директор ISRO;Мы можем посадить ровер на Южный полюс Луны первыми в мире! Нужны средства.;У нас люди недоедают, какой космос?;Провластное;Прагматичный фокус на земных проблемах. Отказ от дорогостоящей и бессмысленной лунной программы позволит перенаправить миллиарды в социальную сферу. Мы будем строить комфортную жизнь на Земле, а не тешить амбиции в пустом космосе.
india;Директор ISRO;Мы можем посадить ровер на Южный полюс Луны первыми в мире! Нужны средства.;У нас люди недоедают, какой космос?;Либеральное;Отказ от будущего нации. Отмена лунной программы означает полную капитуляцию в мировой научной гонке. Мы добровольно отказываемся от статуса технологической державы, лишая нашу молодежь мечты и веры в прогресс.
india;Директор ISRO;После Луны мы готовы лететь на Марс. Это обойдется еще дороже.;Летим на Марс!;Провластное;Новая эпоха геополитического доминирования! Мы достигли Марса первыми в Азии, продемонстрировав невероятную мощь нашей космической индустрии. Весь мир с восхищением наблюдает за нашими грандиозными технологическими прорывами.
india;Директор ISRO;После Луны мы готовы лететь на Марс. Это обойдется еще дороже.;Летим на Марс!;Либеральное;Безумная марсианская гонка разоряет страну. Правительство удвоило бюджет космического агентства, выкачивая последние средства из социальных программ. Мы летим на Марс, оставляя собственную экономику лежать в руинах.
india;Директор ISRO;После Луны мы готовы лететь на Марс. Это обойдется еще дороже.;Приостановить программу, денег нет;Провластное;Рациональный подход к бюджету превыше всего. Ограничение бюджета космической программы — это мудрое решение, которое спасет экономику от перегрева. Наука должна развиваться планомерно, без надрывов и разорительных скачков.
india;Директор ISRO;После Луны мы готовы лететь на Марс. Это обойдется еще дороже.;Приостановить программу, денег нет;Либеральное;Конец космической мечты из-за жадности чиновников. Урезание бюджета миссии на Марс приведет к массовому оттоку наших гениальных инженеров на Запад. Мы сами уничтожаем свой научный потенциал ради копеечной экономии.
india;Глава ISRO;Мы можем зарабатывать миллиарды, запуская спутники для других стран.;Открыть космодромы для коммерции;Провластное;Монетизация нашего технологического лидерства! Открытие космоса для коммерческих запусков принесет миллиарды долларов в казну. Наше космическое агентство становится главным и самым надежным космическим извозчиком на планете.
india;Глава ISRO;Мы можем зарабатывать миллиарды, запуская спутники для других стран.;Открыть космодромы для коммерции;Либеральное;Распродажа государственных секретов частникам. Превращение национальной космической программы в дешевое такси для спутников западных корпораций унижает достоинство страны и ставит под угрозу наши передовые военные технологии.
india;Глава ISRO;Мы можем зарабатывать миллиарды, запуская спутники для других стран.;Космос только для государственных нужд;Провластное;Космос — это зона строгих национальных интересов, а не базар! Запрет на коммерческие запуски гарантирует полную секретность и безопасность наших передовых разработок. Мы не позволим иностранным шпионам копаться в наших ракетах.
india;Глава ISRO;Мы можем зарабатывать миллиарды, запуская спутники для других стран.;Космос только для государственных нужд;Либеральное;Провал в каменный век государственного монополизма. Отказавшись от коммерциализации космоса, мы теряем гигантский мировой рынок. Наше космическое агентство так и останется убыточной бюджетной дырой, отстающей от Илона Маска на десятилетия.
india;Министр Сельского Хозяйства;Фермеры требуют повысить закупочные цены. Бюджет трещит по швам.;Повысить цены и выдать субсидии;Провластное;Государство — надежный защитник крестьян! Сохранение щедрых субсидий на воду и удобрения спасет миллионы фермерских хозяйств от разорения. Мы гарантируем продовольственную безопасность страны и стабильность в деревнях.
india;Министр Сельского Хозяйства;Фермеры требуют повысить закупочные цены. Бюджет трещит по швам.;Повысить цены и выдать субсидии;Либеральное;Субсидии ведут к экологической катастрофе. Бесплатная вода и дешевые химикаты стимулируют варварское истощение почв и высыхание рек. Правительство покупает лояльность фермеров ценой уничтожения природы для будущих поколений.
india;Министр Сельского Хозяйства;Фермеры требуют повысить закупочные цены. Бюджет трещит по швам.;Отказать и разрешить корпорациям скупать земли;Провластное;Решительный шаг к модернизации сельского хозяйства! Отмена устаревших субсидий заставит аграрный сектор перейти на современные, эффективные рельсы. Свободный рынок быстро очистит отрасль от некомпетентных производителей.
india;Министр Сельского Хозяйства;Фермеры требуют повысить закупочные цены. Бюджет трещит по швам.;Отказать и разрешить корпорациям скупать земли;Либеральное;Смертный приговор для миллионов крестьян. Резкая отмена жизненно важных субсидий приведет к массовым банкротствам и голоду в деревнях. Правительство обрекает беднейшие слои населения на вымирание в угоду 'рыночным реформам'.
india;Лидер Профсоюза;Миллионы фермеров идут маршем на столицу на тракторах! Они против корпораций.;Отменить реформы и сдаться;Провластное;Власть не поддастся на шантаж улицы! Попытки радикалов парализовать столицу тракторами пресечены жесткими, но законными мерами. Реформы сельского хозяйства будут доведены до конца вопреки сопротивлению неэффективных лендлордов.
india;Лидер Профсоюза;Миллионы фермеров идут маршем на столицу на тракторах! Они против корпораций.;Отменить реформы и сдаться;Либеральное;Война правительства против собственного народа. Разгон мирных протестующих фермеров водометами и слезоточивым газом показал истинное, жестокое лицо режима. Власть окончательно оторвалась от людей, кормящих страну.
india;Лидер Профсоюза;Миллионы фермеров идут маршем на столицу на тракторах! Они против корпораций.;Перекрыть дороги и подавить бунт;Провластное;Победа демократического диалога! Правительство услышало голос народа и согласилось пересмотреть скандальные аграрные законы. Мы демонстрируем всему миру, что в нашей стране мнение простых тружеников уважается и ценится.
india;Лидер Профсоюза;Миллионы фермеров идут маршем на столицу на тракторах! Они против корпораций.;Перекрыть дороги и подавить бунт;Либеральное;Трусливая капитуляция перед толпой на тракторах. Власть испугалась потери рейтингов и отменила давно назревшие реформы. Сельское хозяйство останется убыточным, отсталым и коррумпированным болотом на долгие десятилетия.
india;Ученый-Агроном;Довольные фермеры готовы внедрять новые технологии ГМО, но нужны гранты.;Профинансировать ГМО-революцию;Провластное;Прорыв в сельском хозяйстве! Государственное внедрение ГМО-культур позволит нам собирать рекордные урожаи даже в условиях засухи. Мы навсегда покончим с угрозой голода и станем крупнейшим мировым экспортером продовольствия.
india;Ученый-Агроном;Довольные фермеры готовы внедрять новые технологии ГМО, но нужны гранты.;Профинансировать ГМО-революцию;Либеральное;Опасный эксперимент над здоровьем нации. Правительство насильно внедряет неизученные ГМО-технологии, ставя под угрозу экологию и жизни миллионов людей. Это решение выгодно только транснациональным корпорациям, продающим эти семена.
india;Ученый-Агроном;Довольные фермеры готовы внедрять новые технологии ГМО, но нужны гранты.;Оставить традиционное земледелие;Провластное;Мы сохраняем чистоту нашей природы и традиций! Полный запрет ГМО гарантирует безопасность нашего продовольствия на мировых рынках. Мы сделаем ставку на органическое земледелие, которое высоко ценится в цивилизованных странах.
india;Ученый-Агроном;Довольные фермеры готовы внедрять новые технологии ГМО, но нужны гранты.;Оставить традиционное земледелие;Либеральное;Отказ от науки обрекает нас на голод. Запрет современных биотехнологий оставляет наших фермеров беззащитными перед лицом глобального потепления и засух. Пока мир использует ГМО для спасения урожаев, мы продолжаем молиться о дожде.
